
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Data	from	Pyro	Oxygen	Logger	V3.213	with	FireStingO2	(Firmware	3.07)	---	Pyro	Science	---	Device	Name:	
***********	*************	*************	**************	*************	*************	*************	*************	*************	*************	*************	*************	*************	*************
Settings:	Description	Units	Basic Mode	Sensor Code	Meas. Mode	Temp. Comp.	Temp. (°C)	Press. Comp.	Press. (hPa)	Salinity (‰)	LED Int. (%)	PD Ampl.	Meas. Time (ms)	Bkdg. Comp.	Fiber Length (m)	
Ch 1	Oxygen Micro/Minisensor (normal range)	umol/l	OFF	ZB7-504-187	3	ON External	20.000	ON	1013	33.000	30%	200x	100	OFF	2.00	
Temp.	Sensor	Measuring	Time (ms):	300	Offset ('C):	0.000	

Calibration:	Status 0% Cal.	Status upper Cal.	Temp. 0% Cal. (°C)	Temp. upper Cal. (°C)	Press. (hPa)	Humidity (%)	Oxygen (%O2)	dphi0 (°)	dphi100 (°)	f	m	F (Hz)	kt (%/K)	tt (%/K)	Bkgd. Int. (mV)	Bkgd. dphi (°)	mt (1/K)	
Ch 1	0% Calibration	Air with 100% Humidity or Air Saturated Water	21.542	19.890	1023	100.000	20.950	48.647	20.904	0.817	0.106	4000	0.953	-0.070	0.000	0.000	-0.000301	
Data	Smoothing:	1	
Date:	5/16/2018	
			 	Oxygen				Compensation	Temperature	('C)		Pressure	Humidity	Temp. Probe	Int. Temp.	Analog In	Raw Data:	 dphi (°)			Signal	Intensity	(mV)		Ambient	Light	(mV)		Advanced Raw Values (only logged while raw data window is open)	
Date	Time (HH:MM:SS)	Time (s)	Comment	Ch1	Ch2	Ch3	Ch4	Ch 1	Ch 2	Ch 3	Ch 4	(mbar)	(%)	('C)	('C)	 (mV)	Ch 1	Ch 2	Ch 3	Ch 4	Ch1	Ch2	Ch3	Ch4	Ch1	Ch2	Ch3	Ch4	 (MainBkgd->MainBkgd->MainPhi->RefAmpl->RefBkgnd->RefPhi)	
5/16/2018	11:59:21	0.00		222.64	---	---	---	19.918	---	---	---	1022.62	27.157	19.918	---	---	21.520	---	---	---	164.462	---	---	---	5.508	---	---	---	
5/16/2018	11:59:22	1.00		222.07	---	---	---	19.940	---	---	---	1022.55	27.081	19.940	---	---	21.541	---	---	---	164.641	---	---	---	5.512	---	---	---	
5/16/2018	11:59:23	2.00		221.85	---	---	---	19.928	---	---	---	1022.65	27.081	19.928	---	---	21.555	---	---	---	164.692	---	---	---	5.528	---	---	---	
5/16/2018	11:59:24	3.00		221.74	---	---	---	19.908	---	---	---	1022.62	27.081	19.908	---	---	21.565	---	---	---	164.759	---	---	---	5.514	---	---	---	
5/16/2018	11:59:25	4.00		221.24	---	---	---	19.929	---	---	---	1022.59	27.081	19.929	---	---	21.583	---	---	---	164.932	---	---	---	5.550	---	---	---	
5/16/2018	11:59:26	5.00		221.04	---	---	---	19.919	---	---	---	1022.59	27.081	19.919	---	---	21.596	---	---	---	165.011	---	---	---	5.538	---	---	---	
5/16/2018	11:59:27	6.00		220.65	---	---	---	19.922	---	---	---	1022.65	27.081	19.922	---	---	21.614	---	---	---	165.188	---	---	---	5.554	---	---	---	
5/16/2018	11:59:28	7.00		220.64	---	---	---	19.897	---	---	---	1022.62	27.081	19.897	---	---	21.621	---	---	---	165.259	---	---	---	5.519	---	---	---	
5/16/2018	11:59:29	8.00		220.55	---	---	---	19.867	---	---	---	1022.71	27.081	19.867	---	---	21.635	---	---	---	165.348	---	---	---	5.514	---	---	---	
5/16/2018	11:59:30	9.00		220.19	---	---	---	19.889	---	---	---	1022.65	27.081	19.889	---	---	21.645	---	---	---	165.509	---	---	---	5.541	---	---	---	
5/16/2018	11:59:31	10.00		219.77	---	---	---	19.899	---	---	---	1022.74	27.081	19.899	---	---	21.663	---	---	---	165.641	---	---	---	5.539	---	---	---	
5/16/2018	11:59:32	11.00		219.84	---	---	---	19.877	---	---	---	1022.65	27.081	19.877	---	---	21.666	---	---	---	165.649	---	---	---	5.535	---	---	---	
5/16/2018	11:59:33	12.00		218.74	---	---	---	19.878	---	---	---	1022.65	27.081	19.878	---	---	21.718	---	---	---	165.856	---	---	---	5.533	---	---	---	
5/16/2018	11:59:34	13.00		219.05	---	---	---	19.869	---	---	---	1022.55	27.081	19.869	---	---	21.707	---	---	---	165.957	---	---	---	5.529	---	---	---	
5/16/2018	11:59:35	14.00		218.55	---	---	---	19.879	---	---	---	1022.62	27.081	19.879	---	---	21.728	---	---	---	165.981	---	---	---	5.534	---	---	---	
5/16/2018	11:59:36	15.00		218.19	---	---	---	19.858	---	---	---	1022.59	27.081	19.858	---	---	21.752	---	---	---	166.158	---	---	---	5.523	---	---	---	
5/16/2018	11:59:37	16.00		218.37	---	---	---	19.837	---	---	---	1022.59	27.081	19.837	---	---	21.749	---	---	---	166.235	---	---	---	5.533	---	---	---	
5/16/2018	11:59:38	17.00		218.03	---	---	---	19.849	---	---	---	1022.62	27.042	19.849	---	---	21.761	---	---	---	166.305	---	---	---	5.536	---	---	---	
5/16/2018	11:59:39	18.00		217.66	---	---	---	19.870	---	---	---	1022.59	27.042	19.870	---	---	21.774	---	---	---	166.427	---	---	---	5.529	---	---	---	
5/16/2018	11:59:40	19.00		217.37	---	---	---	19.837	---	---	---	1022.65	27.042	19.837	---	---	21.798	---	---	---	166.531	---	---	---	5.534	---	---	---	
5/16/2018	11:59:41	20.00		217.24	---	---	---	19.839	---	---	---	1022.68	27.042	19.839	---	---	21.804	---	---	---	166.638	---	---	---	5.534	---	---	---	
5/16/2018	11:59:42	21.00		216.95	---	---	---	19.825	---	---	---	1022.65	27.042	19.825	---	---	21.822	---	---	---	166.677	---	---	---	5.531	---	---	---	
5/16/2018	11:59:43	22.00		216.94	---	---	---	19.806	---	---	---	1022.62	27.081	19.806	---	---	21.827	---	---	---	166.772	---	---	---	5.521	---	---	---	
5/16/2018	11:59:44	23.00		216.67	---	---	---	19.808	---	---	---	1022.65	27.081	19.808	---	---	21.840	---	---	---	166.970	---	---	---	5.535	---	---	---	
5/16/2018	11:59:45	24.00		216.65	---	---	---	19.807	---	---	---	1022.65	27.081	19.807	---	---	21.841	---	---	---	167.024	---	---	---	5.516	---	---	---	
5/16/2018	11:59:46	25.00		216.35	---	---	---	19.807	---	---	---	1022.59	27.081	19.807	---	---	21.857	---	---	---	167.117	---	---	---	5.517	---	---	---	
5/16/2018	11:59:47	26.00		216.04	---	---	---	19.797	---	---	---	1022.62	27.081	19.797	---	---	21.875	---	---	---	167.225	---	---	---	5.521	---	---	---	
5/16/2018	11:59:48	27.00		215.80	---	---	---	19.797	---	---	---	1022.71	27.081	19.797	---	---	21.886	---	---	---	167.311	---	---	---	5.529	---	---	---	
5/16/2018	11:59:49	28.00		215.53	---	---	---	19.787	---	---	---	1022.68	27.081	19.787	---	---	21.902	---	---	---	167.542	---	---	---	5.526	---	---	---	
5/16/2018	11:59:50	29.00		215.45	---	---	---	19.787	---	---	---	1022.62	27.081	19.787	---	---	21.906	---	---	---	167.557	---	---	---	5.532	---	---	---	
5/16/2018	11:59:51	30.00		215.27	---	---	---	19.756	---	---	---	1022.65	27.081	19.756	---	---	21.924	---	---	---	167.675	---	---	---	5.508	---	---	---	
5/16/2018	11:59:52	31.00		215.06	---	---	---	19.767	---	---	---	1022.59	27.081	19.767	---	---	21.931	---	---	---	167.764	---	---	---	5.510	---	---	---	
5/16/2018	11:59:53	32.00		214.85	---	---	---	19.755	---	---	---	1022.62	27.081	19.755	---	---	21.945	---	---	---	167.897	---	---	---	5.535	---	---	---	
5/16/2018	11:59:54	33.00		214.62	---	---	---	19.746	---	---	---	1022.65	27.081	19.746	---	---	21.959	---	---	---	167.953	---	---	---	5.541	---	---	---	
5/16/2018	11:59:55	34.00		214.18	---	---	---	19.767	---	---	---	1022.52	27.081	19.767	---	---	21.975	---	---	---	168.093	---	---	---	5.522	---	---	---	
5/16/2018	11:59:56	35.00		214.10	---	---	---	19.757	---	---	---	1022.68	27.081	19.757	---	---	21.982	---	---	---	168.167	---	---	---	5.537	---	---	---	
5/16/2018	11:59:57	36.00		213.93	---	---	---	19.745	---	---	---	1022.74	27.081	19.745	---	---	21.995	---	---	---	168.281	---	---	---	5.537	---	---	---	
5/16/2018	11:59:58	37.00		213.53	---	---	---	19.714	---	---	---	1022.65	27.081	19.714	---	---	22.024	---	---	---	168.485	---	---	---	5.537	---	---	---	
5/16/2018	11:59:59	38.00		213.48	---	---	---	19.736	---	---	---	1022.62	27.081	19.736	---	---	22.020	---	---	---	168.382	---	---	---	5.527	---	---	---	
5/16/2018	12:00:00	39.00		213.36	---	---	---	19.726	---	---	---	1022.59	27.081	19.726	---	---	22.028	---	---	---	168.494	---	---	---	5.544	---	---	---	
5/16/2018	12:00:01	40.00		213.10	---	---	---	19.726	---	---	---	1022.62	27.081	19.726	---	---	22.041	---	---	---	168.608	---	---	---	5.529	---	---	---	
5/16/2018	12:00:02	41.00		212.56	---	---	---	19.747	---	---	---	1022.71	27.081	19.747	---	---	22.062	---	---	---	168.807	---	---	---	5.537	---	---	---	
5/16/2018	12:00:03	42.00		212.62	---	---	---	19.716	---	---	---	1022.55	27.081	19.716	---	---	22.069	---	---	---	168.830	---	---	---	5.526	---	---	---	
5/16/2018	12:00:04	43.00		212.35	---	---	---	19.715	---	---	---	1022.62	27.081	19.715	---	---	22.083	---	---	---	168.957	---	---	---	5.520	---	---	---	
5/16/2018	12:00:05	44.00		212.01	---	---	---	19.715	---	---	---	1022.71	27.081	19.715	---	---	22.100	---	---	---	169.074	---	---	---	5.534	---	---	---	
5/16/2018	12:00:06	45.00		211.94	---	---	---	19.706	---	---	---	1022.59	27.081	19.706	---	---	22.106	---	---	---	169.076	---	---	---	5.532	---	---	---	
5/16/2018	12:00:07	46.00		211.63	---	---	---	19.706	---	---	---	1022.65	27.081	19.706	---	---	22.121	---	---	---	169.233	---	---	---	5.516	---	---	---	
